file,open_time,close_time,side,pnl,strategy,magic,aligned_hits,aligned_same_dir
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-02 09:36:00+00:00,2009-10-02 10:17:00+00:00,sell,71.11577903145037,EMA_X,3201,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-02 10:49:00+00:00,2009-10-02 11:51:00+00:00,buy,159.85555877026357,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-02 10:50:00+00:00,2009-10-02 11:52:00+00:00,buy,126.14831657450888,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-02 11:50:00+00:00,2009-10-02 14:15:00+00:00,sell,83.32778127158375,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-02 12:23:00+00:00,2009-10-02 14:15:00+00:00,sell,60.433987284437706,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-02 12:24:00+00:00,2009-10-02 14:14:00+00:00,sell,62.15468484360318,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-02 15:35:00+00:00,2009-10-02 15:40:00+00:00,buy,60.73779172700297,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-02 16:01:00+00:00,2009-10-02 16:14:00+00:00,buy,157.6920042107038,EMA_X,3201,2,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-02 16:02:00+00:00,2009-10-02 16:14:00+00:00,buy,111.158455637512,SMA_CROSS,2001,2,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-02 17:05:00+00:00,2009-10-02 17:15:00+00:00,sell,32.52689384792896,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-02 17:49:00+00:00,2009-10-02 18:09:00+00:00,sell,157.4060966623062,SMA_CROSS,2001,2,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-02 17:49:00+00:00,2009-10-02 18:23:00+00:00,sell,177.03658439002697,EMA_X,3201,2,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-02 18:10:00+00:00,2009-10-02 18:35:00+00:00,buy,38.37470625557691,RSI_X,3301,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-02 18:40:00+00:00,2009-10-02 18:57:00+00:00,sell,71.96975607662807,EMA_X,3201,2,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-02 18:44:00+00:00,2009-10-02 19:14:00+00:00,buy,74.87095193142179,RSI_X,3301,3,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-02 19:06:00+00:00,2009-10-02 19:33:00+00:00,buy,20.70156414912961,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-02 19:31:00+00:00,2009-10-02 20:12:00+00:00,sell,97.67087123969584,RSI_X,3301,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-02 20:14:00+00:00,2009-10-02 21:00:00+00:00,buy,51.080882819491535,EMA_X,3201,1,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-02 21:26:00+00:00,2009-10-02 23:08:00+00:00,sell,250.39144009115583,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-02 21:28:00+00:00,2009-10-02 23:10:00+00:00,sell,248.44133567679955,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-02 22:54:00+00:00,2009-10-05 02:30:00+00:00,buy,233.1821493280332,RSI_X,3301,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-02 23:13:00+00:00,2009-10-05 02:30:00+00:00,buy,222.65980622330736,EMA_X,3201,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-02 23:15:00+00:00,2009-10-05 02:21:00+00:00,buy,227.09327684422595,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-05 02:33:00+00:00,2009-10-05 03:53:00+00:00,buy,196.5823987342354,RSI_X,3301,1,0
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-05 03:01:00+00:00,2009-10-05 03:53:00+00:00,buy,213.2472234267428,EMA_X,3201,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-05 09:22:00+00:00,2009-10-05 10:21:00+00:00,sell,171.37188412837347,RSI_X,3301,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-05 09:37:00+00:00,2009-10-05 10:21:00+00:00,sell,104.769223849476,EMA_X,3201,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-05 09:37:00+00:00,2009-10-05 10:00:00+00:00,sell,43.11586850661482,SMA_CROSS,2001,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-05 11:44:00+00:00,2009-10-05 12:28:00+00:00,buy,48.35401827922468,RSI_X,3301,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-05 13:33:00+00:00,2009-10-05 14:45:00+00:00,sell,58.08786578813695,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-05 15:01:00+00:00,2009-10-05 16:23:00+00:00,sell,168.50736726029848,RSI_X,3301,2,0
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-05 16:20:00+00:00,2009-10-05 17:07:00+00:00,buy,64.32279631002469,EMA_X,3201,2,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-05 16:20:00+00:00,2009-10-05 17:02:00+00:00,buy,75.3536450985753,SMA_CROSS,2001,2,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-05 16:27:00+00:00,2009-10-05 16:40:00+00:00,sell,19.005105616332347,RSI_X,3301,2,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-05 20:32:00+00:00,2009-10-05 21:32:00+00:00,sell,40.2260465039388,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-05 21:49:00+00:00,2009-10-06 02:48:00+00:00,sell,43.67556439840645,RSI_X,3301,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-06 05:45:00+00:00,2009-10-06 06:21:00+00:00,sell,37.81948357466109,RSI_X,3301,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-06 09:07:00+00:00,2009-10-06 09:41:00+00:00,sell,127.80205231422292,RSI_X,3301,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-06 09:30:00+00:00,2009-10-06 09:41:00+00:00,sell,64.05510059242938,EMA_X,3201,3,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-06 09:32:00+00:00,2009-10-06 09:41:00+00:00,sell,87.9466452451672,SMA_CROSS,2001,3,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-06 09:48:00+00:00,2009-10-06 10:35:00+00:00,buy,111.24279042720694,RSI_X,3301,4,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-06 11:20:00+00:00,2009-10-06 12:32:00+00:00,buy,57.0079861681495,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-06 11:20:00+00:00,2009-10-06 12:44:00+00:00,buy,49.31274899247791,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-06 12:16:00+00:00,2009-10-06 14:45:00+00:00,sell,67.32072272513572,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-06 12:44:00+00:00,2009-10-06 14:06:00+00:00,sell,19.712670079394208,SMA_CROSS,2001,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-06 15:20:00+00:00,2009-10-06 16:09:00+00:00,buy,113.60151387015122,RSI_X,3301,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-06 16:23:00+00:00,2009-10-06 17:07:00+00:00,buy,106.35904681348694,RSI_X,3301,2,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-06 18:33:00+00:00,2009-10-06 19:24:00+00:00,sell,32.00565034031335,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-06 21:35:00+00:00,2009-10-07 02:54:00+00:00,buy,64.6970707205233,SMA_CROSS,2001,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-06 21:42:00+00:00,2009-10-07 02:54:00+00:00,buy,50.91288101568736,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-06 22:34:00+00:00,2009-10-06 23:49:00+00:00,sell,22.40227468674197,RSI_X,3301,0,0
