id,side,lots,initial_balance,account_balance_after,open_time,close_time,entry_price,exit_price,sl_first,sl_last,sl_mod_count,tp_first,tp_last,tp_mod_count,sl_reason,tp_reason,be_applied,be_price,be_trigger_pips,be_offset_pips,trailing_sl_distance,near_tp_buffer_pips,tp_extension_pips,highest_price,lowest_price,slippage_open_pips,slippage_close_pips,commission,swap,gross_pnl,net_pnl,exit_reason,strategy_id,magic_number
1,sell,1.04,5000.0,4855.6257630725,2014-11-03 05:01:00+00:00,2014-11-03 08:25:00+00:00,1.2479720558069676,1.2492902696235781,1.2491720558069677,1.2491720558069677,0,1.2431720558069677,1.2431720558069677,0,,,False,,,0.0,,,,1.24918,1.24764,-0.3794419303249086,0.982138166105706,7.28,0.0,-137.09423692749922,-144.37423692749923,Stop Loss,RSI_X,3301
2,sell,1.01,4855.6257630725,4719.820885684832,2014-11-03 08:28:00+00:00,2014-11-03 09:04:00+00:00,1.248918988575655,1.2501935913220676,1.2501189885756552,1.2501189885756552,0,1.2441189885756552,1.2441189885756552,0,,,False,,,0.0,,,,1.25047,1.24855,-0.8101142434502329,0.5460274641255758,7.07,0.0,-128.7348773876682,-135.8048773876682,Stop Loss,RSI_X,3301
3,sell,0.9825,4719.820885684832,4734.017550698566,2014-11-03 09:05:00+00:00,2014-11-03 09:46:00+00:00,1.2498504676403221,1.2496359723221162,1.2510504676403222,1.24953,4,1.2450504676403222,1.2450504676403222,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.25027,1.24833,-0.7953235967805838,0.8597232211626782,6.8775,0.0,21.074165013733882,14.196665013733881,trailing_sl,RSI_X,3301
4,sell,0.985,4734.017550698566,4787.777737420186,2014-11-03 14:24:00+00:00,2014-11-03 15:22:00+00:00,1.2503848106701845,1.249769021972503,1.2515848106701846,1.24969,5,1.2455848106701846,1.2455848106701846,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.2506,1.2484899999999999,-0.751893298156503,0.5902197250318153,6.895,0.0,60.65518672161973,53.76018672161973,trailing_sl,RSI_X,3301
5,sell,0.995,4787.777737420186,4917.457318482604,2014-11-03 15:29:00+00:00,2014-11-03 17:00:00+00:00,1.2500905778292108,1.2487172654567242,1.251290577829211,1.24865,1,1.245290577829211,1.245290577829211,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.2509299999999999,1.24745,-0.7942217078915625,0.4726545672428806,6.965,0.0,136.64458106241796,129.67958106241795,trailing_sl,RSI_X,3301
6,buy,1.0225,4917.457318482604,4990.0956913883065,2014-11-03 17:03:00+00:00,2014-11-03 17:29:00+00:00,1.2485479194701907,1.2493283192052098,1.2473479194701906,1.24938,3,1.2533479194701906,1.2533479194701906,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.25058,1.2476,0.47919470190782576,-0.3168079479021202,7.1575,0.0,79.79587290570178,72.63837290570179,trailing_sl,RSI_X,3301
7,buy,1.0375,4990.0956913883065,5073.309274529412,2014-11-03 20:20:00+00:00,2014-11-03 21:44:00+00:00,1.2475469108168393,1.2484189694495247,1.2463469108168392,1.2484899999999999,1,1.2523469108168392,1.2523469108168392,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.24969,1.24724,0.3691081683943054,-0.5103055047528393,7.262500000000001,0.0,90.47608314110585,83.21358314110584,trailing_sl,RSI_X,3301
8,buy,1.0525,5073.309274529412,5174.50562826576,2014-11-03 23:20:00+00:00,2014-11-04 03:42:00+00:00,1.2486448598974467,1.2495774454436352,1.2474448598974466,1.24965,8,1.2534448598974466,1.2534448598974466,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.25085,1.24799,0.7485989744671073,-0.5255455636477002,7.3675,-10.409225000000003,98.15462873634804,101.19635373634806,trailing_sl,RSI_X,3301
9,sell,1.0775000000000001,5174.50562826576,5025.357695922148,2014-11-04 04:41:00+00:00,2014-11-04 05:18:00+00:00,1.2502670154103348,1.2515812189587674,1.251467015410335,1.251467015410335,0,1.2454670154103349,1.2454670154103349,0,,,False,,,0.0,,,,1.25183,1.2502670154103348,-0.4298458966522922,0.9420354843259204,7.5425,0.0,-141.6054323436117,-149.1479323436117,Stop Loss,RSI_X,3301
10,sell,1.0425,5025.357695922148,4885.75148018321,2014-11-04 05:21:00+00:00,2014-11-04 05:46:00+00:00,1.2514810355437638,1.2527501838961757,1.2526810355437639,1.2526810355437639,0,1.2466810355437639,1.2466810355437639,0,,,False,,,0.0,,,,1.25308,1.25125,-0.4896445623625567,0.49148352411876317,7.297499999999999,0.0,-132.30871573893796,-139.60621573893798,Stop Loss,RSI_X,3301
