id,side,lots,initial_balance,account_balance_after,open_time,close_time,entry_price,exit_price,sl_first,sl_last,sl_mod_count,tp_first,tp_last,tp_mod_count,sl_reason,tp_reason,be_applied,be_price,be_trigger_pips,be_offset_pips,trailing_sl_distance,near_tp_buffer_pips,tp_extension_pips,highest_price,lowest_price,slippage_open_pips,slippage_close_pips,commission,swap,gross_pnl,net_pnl,exit_reason,strategy_id,magic_number
1,sell,1.04,5000.0,5095.079433517933,2017-04-03 03:25:00+00:00,2017-04-03 16:04:00+00:00,1.0669915610495935,1.0660073357273057,1.0681915610495936,1.06595,9,1.0621915610495936,1.0621915610495936,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06807,1.06495,-0.8843895040655525,0.3733572730579837,7.28,0.0,102.35943351793253,95.07943351793253,trailing_sl,SMA_CROSS,2001
2,sell,1.06,5095.079433517933,4952.484517312917,2017-04-03 16:56:00+00:00,2017-04-03 18:09:00+00:00,1.0661178751662825,1.0673931102248204,1.0673178751662826,1.0673178751662826,0,1.0613178751662826,1.0613178751662826,0,,,False,,,0.0,,,,1.06739,1.06569,-0.8212483371750068,0.5523505853788357,7.42,0.0,-135.17491620501553,-142.59491620501552,Stop Loss,SMA_CROSS,2001
3,sell,1.03,4952.484517312917,5072.191277448109,2017-04-03 18:37:00+00:00,2017-04-03 19:13:00+00:00,1.0665348482413537,1.065302646686643,1.0677348482413538,1.06521,4,1.0617348482413538,1.0617348482413538,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06719,1.06421,-0.551517586464545,0.7264668664319629,7.21,0.0,126.91676013519172,119.70676013519173,trailing_sl,SMA_CROSS,2001
4,buy,1.0525,5072.191277448109,5131.531264152345,2017-04-03 19:34:00+00:00,2017-04-03 23:07:00+00:00,1.065537564568576,1.06617136491731,1.064337564568576,1.0662500000000001,2,1.070337564568576,1.070337564568576,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06725,1.06497,0.5756456857608505,-0.5863508269032813,7.3675,0.0,66.70748670423637,59.339986704236374,trailing_sl,SMA_CROSS,2001
5,buy,1.0675000000000001,5131.531264152345,4995.872258272207,2017-04-03 23:28:00+00:00,2017-04-04 10:48:00+00:00,1.0665356931686711,1.0652359828091382,1.065335693168671,1.065335693168671,0,1.071335693168671,1.071335693168671,0,,,False,,,0.0,,,,1.06758,1.0652,0.6569316867133246,-0.7971035953291405,7.472500000000001,-10.557575000000003,-138.74408088013848,-135.65900588013847,Stop Loss,SMA_CROSS,2001
6,buy,1.04,4995.872258272207,4855.268056599126,2017-04-04 10:56:00+00:00,2017-04-04 11:39:00+00:00,1.0660272368357642,1.0647452733581384,1.064827236835764,1.064827236835764,0,1.070827236835764,1.070827236835764,0,,,False,,,0.0,,,,1.0660272368357642,1.0647,0.9723683576434716,-0.6196347762577048,7.28,0.0,-133.32420167308,-140.60420167308,Stop Loss,SMA_CROSS,2001
7,buy,1.01,4855.268056599126,4721.145868232208,2017-04-04 12:05:00+00:00,2017-04-04 14:43:00+00:00,1.0653299356064743,1.0640719931473959,1.0641299356064742,1.0641299356064742,0,1.0701299356064742,1.0701299356064742,0,,,False,,,0.0,,,,1.06626,1.0638,0.5993560647432616,-0.3794245907839944,7.07,0.0,-127.05218836691824,-134.12218836691824,Stop Loss,SMA_CROSS,2001
8,buy,0.9825,4721.145868232208,4811.312254603287,2017-04-04 15:12:00+00:00,2017-04-04 20:59:00+00:00,1.0646852529208541,1.0656729769551654,1.063485252920854,1.06579,5,1.069485252920854,1.069485252920854,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06679,1.06442,0.45252920854332856,-0.9702304483472091,6.8775,0.0,97.04388637107971,90.16638637107971,trailing_sl,SMA_CROSS,2001
9,buy,1.0,4811.312254603287,5022.20602959237,2017-04-04 21:49:00+00:00,2017-04-05 07:05:00+00:00,1.0654960345504283,1.0673782723003191,1.0642960345504282,1.06749,20,1.0702960345504282,1.0702960345504282,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06849,1.06537,0.9603455042839215,-0.9172769968102124,7.0,-29.67000000000001,188.2237749890825,210.89377498908252,trailing_sl,SMA_CROSS,2001
10,buy,1.0425,5022.20602959237,4883.035643025858,2017-04-05 07:28:00+00:00,2017-04-05 13:15:00+00:00,1.0678152487393682,1.0665502810025191,1.066615248739368,1.066615248739368,0,1.072615248739368,1.072615248739368,0,,,False,,,0.0,,,,1.06887,1.06658,0.7524873936826104,-0.449677368490331,7.297499999999999,0.0,-131.87288656651157,-139.17038656651158,Stop Loss,SMA_CROSS,2001
11,buy,1.0150000000000001,4883.035643025858,4946.542317447449,2017-04-05 14:00:00+00:00,2017-04-05 15:40:00+00:00,1.0667945782409665,1.0674902597623614,1.0655945782409664,1.0675500000000002,1,1.0715945782409664,1.0715945782409664,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06855,1.06641,0.7457824096657184,-0.3974023763886336,7.105,0.0,70.61167442159112,63.506674421591114,trailing_sl,SMA_CROSS,2001
12,sell,1.03,4946.542317447449,4978.134507535614,2017-04-05 16:16:00+00:00,2017-04-05 16:19:00+00:00,1.0669078907150789,1.0665311704229608,1.068107890715079,1.06642,1,1.062107890715079,1.062107890715079,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06729,1.06542,-0.6210928492134116,0.9117042296091782,7.21,0.0,38.80219008816477,31.59219008816477,trailing_sl,SMA_CROSS,2001
13,buy,1.0325,4978.134507535614,4837.039296226533,2017-04-05 16:51:00+00:00,2017-04-05 17:20:00+00:00,1.0673280915214107,1.0660315519445673,1.0661280915214106,1.0661280915214106,0,1.0721280915214106,1.0721280915214106,0,,,False,,,0.0,,,,1.0673280915214107,1.0661100000000001,0.4809152141072026,-0.7653957684339296,7.2275,0.0,-133.86771130908022,-141.0952113090802,Stop Loss,SMA_CROSS,2001
14,buy,1.0075,4837.039296226533,4702.999545261922,2017-04-05 17:59:00+00:00,2017-04-05 19:45:00+00:00,1.0665903872035225,1.0653299678391095,1.0653903872035224,1.0653903872035224,0,1.0713903872035224,1.0713903872035224,0,,,False,,,0.0,,,,1.06737,1.06516,0.9038720352250174,-0.40419364413013525,7.0525,0.0,-126.98725096461102,-134.03975096461102,Stop Loss,SMA_CROSS,2001
15,buy,0.9775,4702.999545261922,4572.880525369287,2017-04-05 20:15:00+00:00,2017-04-05 20:43:00+00:00,1.065909406497071,1.0646482656286043,1.064709406497071,1.064709406497071,0,1.070709406497071,1.070709406497071,0,,,False,,,0.0,,,,1.06592,1.06469,0.694064970712116,-0.41140868466849057,6.8425,0.0,-123.27651989263438,-130.11901989263438,Stop Loss,SMA_CROSS,2001
16,buy,0.9525,4572.880525369287,4446.4569522768825,2017-04-05 21:39:00+00:00,2017-04-05 22:00:00+00:00,1.0649621026448606,1.0637048210375912,1.0637621026448605,1.0637621026448605,0,1.0697621026448605,1.0697621026448605,0,,,False,,,0.0,,,,1.06519,1.06345,0.42102644860708693,-0.3728160726934604,6.6675,0.0,-119.7560730924051,-126.4235730924051,Stop Loss,SMA_CROSS,2001
17,sell,0.925,4446.4569522768825,4321.40960158061,2017-04-05 22:06:00+00:00,2017-04-05 22:22:00+00:00,1.06419579436849,1.0654776576192606,1.0653957943684902,1.0653957943684902,0,1.0593957943684902,1.0593957943684902,0,,,False,,,0.0,,,,1.06568,1.06369,-0.4420563150997481,0.618632507705108,6.4750000000000005,0.0,-118.57235069627214,-125.04735069627213,Stop Loss,SMA_CROSS,2001
18,sell,0.9,4321.40960158061,4334.461596718213,2017-04-06 00:09:00+00:00,2017-04-06 01:47:00+00:00,1.067364379755864,1.0671493575876685,1.0685643797558642,1.06703,1,1.0625643797558642,1.0625643797558642,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06772,1.06603,-0.8562024413594216,0.993575876686581,6.3,0.0,19.351995137601996,13.051995137601995,trailing_sl,SMA_CROSS,2001
19,sell,0.9025,4334.461596718213,4212.94727489259,2017-04-06 02:07:00+00:00,2017-04-06 04:02:00+00:00,1.0663136487959595,1.0675900678743597,1.0675136487959596,1.0675136487959596,0,1.0615136487959596,1.0615136487959596,0,,,False,,,0.0,,,,1.06761,1.06619,-0.8635120404054675,0.564190784002605,6.3175,0.0,-115.19682182562342,-121.51432182562341,Stop Loss,SMA_CROSS,2001
20,sell,0.8775000000000001,4212.94727489259,4296.290071131218,2017-04-06 04:53:00+00:00,2017-04-06 11:05:00+00:00,1.0677838983802066,1.0667641229244957,1.0689838983802067,1.0667099999999998,1,1.0629838983802067,1.0629838983802067,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06805,1.06571,-0.6610161979359042,0.3412292449600507,6.1425,0.0,89.48529623862784,83.34279623862784,trailing_sl,SMA_CROSS,2001
21,buy,0.895,4296.290071131218,4463.2207952062445,2017-04-06 11:56:00+00:00,2017-04-06 15:52:00+00:00,1.0645297766980342,1.0664649244530624,1.063329776698034,1.0665200000000001,15,1.069329776698034,1.069329776698034,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06752,1.06424,0.797766980342729,-0.35075546937823887,6.265000000000001,0.0,173.19572407502682,166.93072407502683,trailing_sl,SMA_CROSS,2001
22,sell,0.9275,4463.2207952062445,4480.601509123554,2017-04-06 15:53:00+00:00,2017-04-06 20:12:00+00:00,1.065888217189265,1.0656308240472994,1.067088217189265,1.0655299999999999,2,1.061088217189265,1.061088217189265,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06682,1.06453,-0.917828107351859,0.8082404729958803,6.4925,0.0,23.873213917309457,17.380713917309457,trailing_sl,SMA_CROSS,2001
23,sell,0.9325,4480.601509123554,4565.230380383177,2017-04-06 20:40:00+00:00,2017-04-07 13:51:00+00:00,1.0650316643651292,1.0639997161478678,1.0662316643651293,1.0638999999999998,3,1.0602316643651293,1.0602316643651293,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06601,1.0629,-0.8833563487087304,0.7971614786805858,6.5275,5.0728,96.22917125962373,84.62887125962372,trailing_sl,SMA_CROSS,2001
24,sell,0.9500000000000001,4565.230380383177,4433.645196740519,2017-04-07 14:07:00+00:00,2017-04-07 16:30:00+00:00,1.0634511799057258,1.0647662871019643,1.0646511799057259,1.0646511799057259,0,1.0586511799057259,1.0586511799057259,0,,,False,,,0.0,10.0,,,1.06664,1.06222,-0.7882009427429004,0.9510719623850861,6.65,0.0,-124.93518364265822,-131.58518364265822,Stop Loss,SMA_CROSS,2001
25,sell,0.9225,4433.645196740519,4477.153513382678,2017-04-07 16:47:00+00:00,2017-04-07 16:58:00+00:00,1.0625982829075802,1.0620566480388305,1.0637982829075803,1.0619999999999998,2,1.0577982829075803,1.0577982829075803,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06332,1.061,-0.9171709241995174,0.3664803883074441,6.4575,0.0,49.96581664215948,43.508316642159485,trailing_sl,SMA_CROSS,2001
26,buy,0.9325,4477.153513382678,4350.847260789577,2017-04-07 17:34:00+00:00,2017-04-07 20:28:00+00:00,1.0621519547492067,1.0608674641047766,1.0609519547492066,1.0609519547492066,0,1.0669519547492066,1.0669519547492066,0,,,False,,,0.0,,,,1.06335,1.06094,0.6195474920667188,-0.6449064443003749,6.5275,0.0,-119.7787525931009,-126.30625259310091,Stop Loss,SMA_CROSS,2001
27,buy,0.905,4350.847260789577,4230.413352980012,2017-04-07 21:46:00+00:00,2017-04-07 21:55:00+00:00,1.0595176281452754,1.058256866733015,1.0583176281452753,1.0583176281452753,0,1.0643176281452753,1.0643176281452753,0,,,False,,,0.0,,,,1.05955,1.05819,0.3762814527541458,-0.4076141226039276,6.335,0.0,-114.09890780956545,-120.43390780956544,Stop Loss,SMA_CROSS,2001
28,buy,0.88,4230.413352980012,4272.740552788005,2017-04-07 22:32:00+00:00,2017-04-08 00:49:00+00:00,1.0587388998823313,1.0591909907892403,1.0575388998823312,1.05926,2,1.0635388998823312,1.0635388998823312,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06026,1.05846,0.9889988233147129,-0.4900921075989828,6.16,-8.703200000000002,39.78399980799275,42.32719980799275,trailing_sl,SMA_CROSS,2001
29,buy,0.89,4272.740552788005,4291.9381146927435,2017-04-10 03:19:00+00:00,2017-04-10 10:30:00+00:00,1.0580128006320637,1.0582985035748136,1.0568128006320636,1.0583600000000002,2,1.0628128006320636,1.0628128006320636,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.05936,1.05699,0.9280063206373868,-0.41496425186693386,6.23,0.0,25.42756190473905,19.19756190473905,trailing_sl,SMA_CROSS,2001
30,buy,0.8925000000000001,4291.9381146927435,4172.145449309559,2017-04-10 11:07:00+00:00,2017-04-10 15:17:00+00:00,1.0586092650806318,1.0573370503424449,1.0574092650806317,1.0574092650806317,0,1.0634092650806317,1.0634092650806317,0,,,False,,,0.0,,,,1.05891,1.05738,0.39265080631789573,-0.5221473818695088,6.2475000000000005,0.0,-113.54516538318528,-119.79266538318528,Stop Loss,SMA_CROSS,2001
31,buy,0.8675,4172.145449309559,4244.923195699546,2017-04-10 15:39:00+00:00,2017-04-10 18:37:00+00:00,1.0580215195791176,1.0589304561369273,1.0568215195791175,1.05901,7,1.0628215195791175,1.0628215195791175,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.06001,1.05727,0.5151957911775362,-0.5954386307283066,6.072500000000001,0.0,78.85024638998789,72.77774638998788,trailing_sl,SMA_CROSS,2001
32,buy,0.8825000000000001,4244.923195699546,4133.651835083318,2017-04-10 18:48:00+00:00,2017-04-11 06:26:00+00:00,1.0596831697473559,1.0583934044712513,1.0584831697473558,1.0584831697473558,0,1.0644831697473558,1.0644831697473558,0,,,False,,,0.0,,,,1.06063,1.05846,0.5316974735602997,-0.6976527610458305,6.1775,-8.727925000000003,-113.82178561622936,-111.27136061622936,Stop Loss,SMA_CROSS,2001
