id,side,lots,initial_balance,account_balance_after,open_time,close_time,entry_price,exit_price,sl_first,sl_last,sl_mod_count,tp_first,tp_last,tp_mod_count,sl_reason,tp_reason,be_applied,be_price,be_trigger_pips,be_offset_pips,trailing_sl_distance,near_tp_buffer_pips,tp_extension_pips,highest_price,lowest_price,slippage_open_pips,slippage_close_pips,commission,swap,gross_pnl,net_pnl,exit_reason,strategy_id,magic_number
1,sell,1.04,5000.0,5055.872147784169,2009-10-01 03:55:00+00:00,2009-10-01 04:43:00+00:00,1.465123782191681,1.4645165500014485,1.466323782191681,1.4644,2,1.460323782191681,1.460323782191681,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.46545,1.4634,-0.5621780831921441,0.9655000144870307,7.28,0.0,63.15214778416944,55.87214778416944,trailing_sl,SMA_CROSS,2001
2,buy,1.0525,5055.872147784169,4912.531531401842,2009-10-01 05:16:00+00:00,2009-10-01 05:50:00+00:00,1.4645412395759267,1.463249333482033,1.4633412395759267,1.4633412395759267,0,1.4693412395759267,1.4693412395759267,0,,,False,,,0.0,,,,1.4649,1.4633099999999999,0.8123957592687248,-0.7190609389384761,7.3675,0.0,-135.97311638232733,-143.34061638232734,Stop Loss,SMA_CROSS,2001
3,buy,1.0225,4912.531531401842,4776.44500062254,2009-10-01 07:13:00+00:00,2009-10-01 07:58:00+00:00,1.4627609213048307,1.4615000016884072,1.4615609213048306,1.4615609213048306,0,1.4675609213048306,1.4675609213048306,0,,,False,,,0.0,,,,1.46278,1.4613399999999999,0.4092130483090983,-0.4091961642349595,7.1575,0.0,-128.92903077930234,-136.08653077930234,Stop Loss,SMA_CROSS,2001
4,buy,0.995,4776.44500062254,4639.072083767208,2009-10-01 08:14:00+00:00,2009-10-01 08:45:00+00:00,1.4622440658528517,1.4609334335226474,1.4610440658528516,1.4610440658528516,0,1.4670440658528516,1.4670440658528516,0,,,False,,,0.0,,,,1.4628700000000001,1.46094,0.34065852851705714,-0.9063233020434325,6.965,0.0,-130.40791685533205,-137.37291685533205,Stop Loss,SMA_CROSS,2001
5,buy,0.965,4639.072083767208,4742.168521599909,2009-10-01 09:41:00+00:00,2009-10-01 10:08:00+00:00,1.457102078050822,1.4582404349195546,1.4559020780508218,1.4583400000000002,2,1.4619020780508218,1.4619020780508218,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.45934,1.4561899999999999,0.7207805082209973,-0.7956508044570931,6.755,0.0,109.85143783270057,103.09643783270057,trailing_sl,SMA_CROSS,2001
6,sell,0.9875,4742.168521599909,4839.996729430035,2009-10-01 10:59:00+00:00,2009-10-01 12:25:00+00:00,1.4592385590853993,1.4581778936896512,1.4604385590853994,1.45806,6,1.4544385590853994,1.4544385590853994,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.45964,1.45706,-0.3144091460072218,0.978936896514071,6.9125000000000005,0.0,104.74070783012657,97.82820783012657,trailing_sl,SMA_CROSS,2001
7,buy,1.0075,4839.996729430035,4705.5092078519765,2009-10-01 12:26:00+00:00,2009-10-01 12:46:00+00:00,1.458628270984856,1.4573634072471084,1.4574282709848558,1.4574282709848558,0,1.4634282709848558,1.4634282709848558,0,,,False,,,0.0,,,,1.4586299999999999,1.45688,0.8827098485597595,-0.44863737747480315,7.0525,0.0,-127.43502157805854,-134.48752157805853,Stop Loss,SMA_CROSS,2001
8,sell,0.98,4705.5092078519765,4792.183733639375,2009-10-01 12:48:00+00:00,2009-10-01 13:26:00+00:00,1.4575572722522956,1.4566028383156895,1.4587572722522957,1.45654,5,1.4527572722522957,1.4527572722522957,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.45769,1.45554,-0.4272774770441856,0.4283831568963059,6.859999999999999,0.0,93.53452578739808,86.67452578739808,trailing_sl,SMA_CROSS,2001
9,buy,0.9975,4792.183733639375,4656.849621855508,2009-10-01 13:36:00+00:00,2009-10-01 13:55:00+00:00,1.4570012969570072,1.455714564006793,1.455801296957007,1.455801296957007,0,1.4618012969570071,1.4618012969570071,0,,,False,,,0.0,,,,1.45729,1.45551,0.5129695700722969,-0.6673295021419889,6.9825,0.0,-128.35161178386622,-135.3341117838662,Stop Loss,SMA_CROSS,2001
10,buy,0.97,4656.849621855508,4526.832175993572,2009-10-01 14:46:00+00:00,2009-10-01 15:33:00+00:00,1.4544002361513049,1.453129850111491,1.4532002361513048,1.4532002361513048,0,1.4592002361513048,1.4592002361513048,0,,,False,,,0.0,,,,1.45516,1.45194,0.6023615130490434,-0.5038603981377676,6.79,0.0,-123.22744586193623,-130.01744586193624,Stop Loss,SMA_CROSS,2001
