id,side,lots,initial_balance,account_balance_after,open_time,close_time,entry_price,exit_price,sl_first,sl_last,sl_mod_count,tp_first,tp_last,tp_mod_count,sl_reason,tp_reason,be_applied,be_price,be_trigger_pips,be_offset_pips,trailing_sl_distance,near_tp_buffer_pips,tp_extension_pips,highest_price,lowest_price,slippage_open_pips,slippage_close_pips,commission,swap,gross_pnl,net_pnl,exit_reason,strategy_id,magic_number
1,buy,1.04,5000.0,5052.968398350705,2014-01-02 03:26:00+00:00,2014-01-02 06:06:00+00:00,1.3756180538196474,1.3761973653422503,1.3744180538196473,1.3762899999999998,3,1.3804180538196473,1.3804180538196473,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.3774899999999999,1.37504,0.38053819647387854,-0.7263465774953737,7.28,0.0,60.248398350704946,52.968398350704945,trailing_sl,RSI_X,3301
2,buy,1.0525,5052.968398350705,4912.2658543256075,2014-01-02 06:09:00+00:00,2014-01-02 06:47:00+00:00,1.376149337367493,1.3748824960940953,1.3749493373674928,1.3749493373674928,0,1.3809493373674928,1.3809493373674928,0,,,False,,,0.0,,,,1.376149337367493,1.37487,0.39337367492953135,-0.46841273397602023,7.3675,0.0,-133.3350440250975,-140.7025440250975,Stop Loss,RSI_X,3301
3,buy,1.0225,4912.2658543256075,4771.14657773414,2014-01-02 06:59:00+00:00,2014-01-02 09:45:00+00:00,1.3746428997339069,1.3733327601095404,1.3734428997339068,1.3734428997339068,0,1.3794428997339068,1.3794428997339068,0,,,False,,,0.0,,,,1.37583,1.37341,0.5289973390687486,-0.9013962436643652,7.1575,0.0,-133.961776591468,-141.119276591468,Stop Loss,RSI_X,3301
4,buy,0.9925,4771.14657773414,4636.376853264305,2014-01-02 09:48:00+00:00,2014-01-02 10:06:00+00:00,1.3735666263149167,1.3722787449600569,1.3723666263149166,1.3723666263149166,0,1.3783666263149166,1.3783666263149166,0,,,False,,,0.0,,,,1.3735666263149167,1.37212,0.766263149167834,-0.6788135485980007,6.947500000000001,0.0,-127.82222446983504,-134.76972446983504,Stop Loss,RSI_X,3301
5,buy,0.965,4636.376853264305,4645.699395138923,2014-01-02 10:08:00+00:00,2014-01-02 10:50:00+00:00,1.3725620309677098,1.3727286376192602,1.3713620309677097,1.3728299999999998,1,1.3773620309677097,1.3773620309677097,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.3740299999999999,1.3715899999999999,0.3203096770976188,-0.8136238073963575,6.755,0.0,16.077541874617296,9.322541874617297,trailing_sl,RSI_X,3301
6,sell,0.9675,4645.699395138923,5093.05753102802,2014-01-02 11:51:00+00:00,2014-01-02 13:27:00+00:00,1.3733223534987098,1.3686284967970137,1.3745223534987099,1.3695700000000002,15,1.3685223534987099,1.3685223534987099,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.3742,1.36837,-0.5764650129025384,0.8614329830392009,6.7725,0.0,454.13063588909637,447.3581358890964,Take Profit,RSI_X,3301
7,buy,1.06,5093.05753102802,4952.71544479808,2014-01-02 13:29:00+00:00,2014-01-02 14:03:00+00:00,1.36895780947881,1.3677038275332445,1.3677578094788099,1.3677578094788099,0,1.3737578094788099,1.3737578094788099,0,,,False,,,0.0,,,,1.3695,1.36764,0.4780947881011244,-0.33981945565475513,7.42,0.0,-132.92208622994028,-140.34208622994026,Stop Loss,RSI_X,3301
8,buy,1.03,4952.71544479808,4815.161825737761,2014-01-02 14:08:00+00:00,2014-01-02 14:30:00+00:00,1.3677006654048627,1.3664351933751508,1.3665006654048626,1.3665006654048626,0,1.3725006654048626,1.3725006654048626,0,,,False,,,0.0,,,,1.3684,1.36608,0.9066540486291075,-0.4547202971183495,7.21,0.0,-130.3436190603189,-137.5536190603189,Stop Loss,RSI_X,3301
9,buy,1.0,4815.161825737761,4680.949150440644,2014-01-02 14:31:00+00:00,2014-01-02 14:53:00+00:00,1.366558349261363,1.365286222508392,1.365358349261363,1.365358349261363,0,1.371358349261363,1.371358349261363,0,,,False,,,0.0,,,,1.36686,1.36441,0.5834926136327745,-0.5212675297117109,7.0,0.0,-127.21267529711699,-134.212675297117,Stop Loss,RSI_X,3301
10,buy,0.975,4680.949150440644,4546.49414190252,2014-01-02 14:54:00+00:00,2014-01-02 15:35:00+00:00,1.3648853663889997,1.3635763406604036,1.3636853663889996,1.3636853663889996,0,1.3696853663889996,1.3696853663889996,0,,,False,,,0.0,12.0,,,1.3661400000000001,1.3636300000000001,0.3536638899981348,-0.8902572859614821,6.825,0.0,-127.63000853812433,-134.45500853812433,Stop Loss,RSI_X,3301
11,sell,0.9450000000000001,4546.49414190252,4415.327900322665,2014-01-02 18:07:00+00:00,2014-01-02 18:50:00+00:00,1.366340574259658,1.3676585768160585,1.367540574259658,1.367540574259658,0,1.361540574259658,1.361540574259658,0,,,False,,,0.0,,,,1.36756,1.36554,-0.8942574034209727,0.980025564005782,6.615,0.0,-124.55124157985456,-131.16624157985456,Stop Loss,RSI_X,3301
12,sell,0.9175,4415.327900322665,4465.4426171064615,2014-01-02 20:00:00+00:00,2014-01-02 22:59:00+00:00,1.3670030236159925,1.3663868141687576,1.3682030236159926,1.36627,5,1.3622030236159925,1.3622030236159925,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.3676,1.36507,-0.5697638400770089,0.9681416875761961,6.422499999999999,0.0,56.53721678379648,50.11471678379648,trailing_sl,RSI_X,3301
13,sell,0.93,4465.4426171064615,4487.531622694701,2014-01-02 23:00:00+00:00,2014-01-03 09:05:00+00:00,1.3661187969147415,1.3657568807256206,1.3673187969147416,1.36566,2,1.3613187969147416,1.3613187969147416,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.36722,1.36446,-0.6120308525869866,0.7688072562062054,6.510000000000001,5.059200000000001,33.65820558823884,22.08900558823884,trailing_sl,RSI_X,3301
14,sell,0.9325,4487.531622694701,4581.8472926394825,2014-01-03 09:06:00+00:00,2014-01-03 11:40:00+00:00,1.3652342249965213,1.3641527969005987,1.3664342249965213,1.3640400000000001,8,1.3604342249965213,1.3604342249965213,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.36616,1.36284,-0.3577500347873297,0.927969005986018,6.5275,0.0,100.84316994478233,94.31566994478233,trailing_sl,RSI_X,3301
15,sell,0.9525,4581.8472926394825,4454.368375234828,2014-01-03 11:45:00+00:00,2014-01-03 14:31:00+00:00,1.364599139754952,1.3658675010925336,1.365799139754952,1.365799139754952,0,1.359799139754952,1.359799139754952,0,,,False,,,0.0,,,,1.36584,1.36361,-0.5086024504818987,0.48361337581681596,6.6675,0.0,-120.81141740465507,-127.47891740465508,Stop Loss,RSI_X,3301
16,sell,0.9275,4454.368375234828,4623.323329307091,2014-01-03 14:32:00+00:00,2014-01-03 15:29:00+00:00,1.3653696409315657,1.3634780241760696,1.3665696409315657,1.36339,5,1.3605696409315657,1.3605696409315657,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.36567,1.36219,-0.30359068434515635,0.6802417606954769,6.4925,0.0,175.44745407226281,168.9549540722628,trailing_sl,RSI_X,3301
17,buy,0.9625,4623.323329307091,4491.985761654446,2014-01-03 16:03:00+00:00,2014-01-03 16:07:00+00:00,1.3631632917456904,1.3618687455882603,1.3619632917456903,1.3619632917456903,0,1.3679632917456903,1.3679632917456903,0,,,False,,,0.0,,,,1.36321,1.3616,0.6329174569041918,-0.7454615743007764,6.7375,0.0,-124.60006765264488,-131.33756765264488,Stop Loss,RSI_X,3301
18,buy,0.935,4491.985761654446,4362.618563904447,2014-01-03 16:08:00+00:00,2014-01-03 16:20:00+00:00,1.3623084742893856,1.3609948678963375,1.3611084742893855,1.3611084742893855,0,1.3671084742893855,1.3671084742893855,0,,,False,,,0.0,,,,1.3623084742893856,1.36107,0.9847428938569713,-0.9360639304811791,6.545,0.0,-122.82219774999889,-129.3671977499989,Stop Loss,RSI_X,3301
19,buy,0.9075,4362.618563904447,4239.491877253742,2014-01-03 16:21:00+00:00,2014-01-03 17:08:00+00:00,1.3615237107153044,1.360236942818327,1.3603237107153043,1.3603237107153043,0,1.3663237107153043,1.3663237107153043,0,,,False,,,0.0,,,,1.36189,1.36021,0.9371071530450692,-0.6676789697745988,6.3525,0.0,-116.7741866507044,-123.1266866507044,Stop Loss,RSI_X,3301
20,buy,0.8825000000000001,4239.491877253742,4256.264200278846,2014-01-03 17:12:00+00:00,2014-01-03 18:31:00+00:00,1.3602072813264896,1.3604673359783321,1.3590072813264895,1.36053,1,1.3650072813264895,1.3650072813264895,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.36173,1.35992,0.37281326489724265,-0.42664021667970786,6.1775,0.0,22.949823025103626,16.772323025103624,trailing_sl,RSI_X,3301
21,buy,0.885,4256.264200278846,4136.892151546772,2014-01-03 19:06:00+00:00,2014-01-03 22:21:00+00:00,1.359906712815469,1.358627876106632,1.3587067128154688,1.3587067128154688,0,1.3647067128154688,1.3647067128154688,0,,,False,,,0.0,,,,1.36067,1.35849,0.9671281546896893,-0.5883670883699565,6.195,0.0,-113.17704873207401,-119.372048732074,Stop Loss,RSI_X,3301
22,buy,0.86,4136.892151546772,4027.831044324333,2014-01-03 22:22:00+00:00,2014-01-06 07:57:00+00:00,1.3590105511984425,1.3577134987888793,1.3578105511984424,1.3578105511984424,0,1.3638105511984424,1.3638105511984424,0,,,False,,,0.0,,,,1.36006,1.35766,0.9055119844258996,-0.7705240956323856,6.02,-8.505400000000002,-111.54650722243841,-109.06110722243841,Stop Loss,RSI_X,3301
23,buy,0.8375,4027.831044324333,4126.379324267874,2014-01-06 07:59:00+00:00,2014-01-06 10:53:00+00:00,1.3580740150057116,1.3593207108856344,1.3568740150057115,1.3593899999999999,8,1.3628740150057115,1.3628740150057115,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.36059,1.35712,0.7401500571169173,-0.49289114365524966,5.8625,0.0,104.41077994354092,98.54827994354092,trailing_sl,RSI_X,3301
24,sell,0.8575,4126.379324267874,4011.947458811391,2014-01-06 11:09:00+00:00,2014-01-06 13:09:00+00:00,1.360947227691118,1.362211710087112,1.3621472276911182,1.3621472276911182,0,1.3561472276911182,1.3561472276911182,0,,,False,,,0.0,,,,1.36218,1.36036,-0.9277230888193877,0.4448239599397219,6.0025,0.0,-108.42936545648303,-114.43186545648302,Stop Loss,RSI_X,3301
