id,side,lots,initial_balance,account_balance_after,open_time,close_time,entry_price,exit_price,sl_first,sl_last,sl_mod_count,tp_first,tp_last,tp_mod_count,sl_reason,tp_reason,be_applied,be_price,be_trigger_pips,be_offset_pips,trailing_sl_distance,near_tp_buffer_pips,tp_extension_pips,highest_price,lowest_price,slippage_open_pips,slippage_close_pips,commission,swap,gross_pnl,net_pnl,exit_reason,strategy_id,magic_number
1,buy,1.04,5000.0,4855.7987998493345,2009-10-01 03:55:00+00:00,2009-10-01 04:26:00+00:00,1.4652762178083192,1.4639596678068705,1.464076217808319,1.464076217808319,0,1.470076217808319,1.470076217808319,0,,,False,,,0.0,,,,1.46545,1.46369,0.5621780831921441,-0.9655000144870307,7.28,0.0,-136.92120015066502,-144.20120015066502,Stop Loss,RSI_X,3301
2,buy,1.01,4855.7987998493345,4718.246284366056,2009-10-01 04:28:00+00:00,2009-10-01 06:29:00+00:00,1.4638312395759268,1.462539333482033,1.4626312395759267,1.4626312395759267,0,1.4686312395759267,1.4686312395759267,0,,,False,,,0.0,,,,1.4649,1.46259,0.8123957592687248,-0.7190609389384761,7.07,0.0,-130.4825154832785,-137.55251548327848,Stop Loss,RSI_X,3301
3,buy,0.9825,4718.246284366056,4587.483432052447,2009-10-01 06:30:00+00:00,2009-10-01 07:58:00+00:00,1.4627709213048308,1.4615100016884073,1.4615709213048307,1.4615709213048307,0,1.4675709213048307,1.4675709213048307,0,,,False,,,0.0,,,,1.4632100000000001,1.4613399999999999,0.4092130483090983,-0.4091961642349595,6.8775,0.0,-123.8853523136084,-130.7628523136084,Stop Loss,RSI_X,3301
4,sell,0.9550000000000001,4587.483432052447,4595.6297555706215,2009-10-01 08:25:00+00:00,2009-10-01 08:45:00+00:00,1.4624059341471485,1.4622506323302042,1.4636059341471486,1.46214,1,1.4576059341471486,1.4576059341471486,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.46285,1.46094,-0.34065852851705714,0.9063233020434325,6.6850000000000005,0.0,14.831323518174068,8.146323518174068,trailing_sl,RSI_X,3301
5,buy,0.9550000000000001,4595.6297555706215,4464.836290388057,2009-10-01 09:05:00+00:00,2009-10-01 09:11:00+00:00,1.457012078050822,1.4557125129703763,1.455812078050822,1.455812078050822,0,1.461812078050822,1.461812078050822,0,,,False,,,0.0,,,,1.45735,1.45574,0.7207805082209973,-0.7956508044570931,6.6850000000000005,0.0,-124.10846518256514,-130.79346518256514,Stop Loss,RSI_X,3301
6,sell,0.93,4464.836290388057,4335.762177250476,2009-10-01 10:09:00+00:00,2009-10-01 10:23:00+00:00,1.4584385590853994,1.4597564527750508,1.4596385590853995,1.4596385590853995,0,1.4536385590853995,1.4536385590853995,0,,,False,,,0.0,,,,1.45979,1.45831,-0.3144091460072218,0.978936896514071,6.510000000000001,0.0,-122.56411313758075,-129.07411313758075,Stop Loss,RSI_X,3301
7,sell,0.9025,4335.762177250476,4367.066768535519,2009-10-01 10:34:00+00:00,2009-10-01 11:31:00+00:00,1.459691729015144,1.4592748637377475,1.4608917290151442,1.4592100000000001,6,1.4548917290151442,1.4548917290151442,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.46038,1.45801,-0.8827098485597595,0.44863737747480315,6.3175,0.0,37.62209128504263,31.30459128504263,trailing_sl,RSI_X,3301
8,sell,0.9075,4367.066768535519,4443.699148282519,2009-10-01 11:32:00+00:00,2009-10-01 12:25:00+00:00,1.4592372722522957,1.4583228383156897,1.4604372722522958,1.4582600000000001,6,1.4544372722522958,1.4544372722522958,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.45961,1.45706,-0.4272774770441856,0.4283831568963059,6.3525,0.0,82.9848797470002,76.6323797470002,trailing_sl,RSI_X,3301
9,buy,0.925,4443.699148282519,4318.201350387705,2009-10-01 13:05:00+00:00,2009-10-01 13:56:00+00:00,1.4563912969570072,1.455104564006793,1.455191296957007,1.455191296957007,0,1.4611912969570071,1.4611912969570071,0,,,False,,,0.0,,,,1.45729,1.45451,0.5129695700722969,-0.6673295021419889,6.4750000000000005,0.0,-119.0227978948133,-125.49779789481329,Stop Loss,RSI_X,3301
10,buy,0.8975,4318.201350387705,4197.901703314419,2009-10-01 14:05:00+00:00,2009-10-01 14:18:00+00:00,1.4548002361513048,1.453529850111491,1.4536002361513047,1.4536002361513047,0,1.4596002361513047,1.4596002361513047,0,,,False,,,0.0,,,,1.45547,1.4534500000000001,0.6023615130490434,-0.5038603981377676,6.2825,0.0,-114.01714707328635,-120.29964707328635,Stop Loss,RSI_X,3301
