id,side,lots,initial_balance,account_balance_after,open_time,close_time,entry_price,exit_price,sl_first,sl_last,sl_mod_count,tp_first,tp_last,tp_mod_count,sl_reason,tp_reason,be_applied,be_price,be_trigger_pips,be_offset_pips,trailing_sl_distance,near_tp_buffer_pips,tp_extension_pips,highest_price,lowest_price,slippage_open_pips,slippage_close_pips,commission,swap,gross_pnl,net_pnl,exit_reason,strategy_id,magic_number
1,sell,1.04,5000.0,5035.072147784148,2009-10-01 03:55:00+00:00,2009-10-01 05:18:00+00:00,1.465123782191681,1.4647165500014487,1.466323782191681,1.4646000000000001,2,1.460323782191681,1.460323782191681,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.46545,1.4634,-0.5621780831921441,0.9655000144870307,7.28,0.0,42.35214778414864,35.07214778414864,trailing_sl,EMA_X,3201
2,sell,1.0475,5035.072147784148,5153.110138870424,2009-10-01 05:35:00+00:00,2009-10-01 08:23:00+00:00,1.463818760424073,1.4626219060938939,1.4650187604240732,1.46253,9,1.4590187604240732,1.4590187604240732,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.46445,1.46133,-0.8123957592687248,0.7190609389384761,7.3325000000000005,0.0,125.37049108627565,118.03799108627565,trailing_sl,EMA_X,3201
3,sell,1.0725,5153.110138870424,5347.035200065885,2009-10-01 08:42:00+00:00,2009-10-01 08:46:00+00:00,1.4620790786951692,1.4602009196164236,1.4632790786951693,1.4601400000000002,1,1.4572790786951693,1.4572790786951693,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.46279,1.4589400000000001,-0.4092130483090983,0.4091961642349595,7.5075,0.0,201.43256119546086,193.92506119546087,trailing_sl,EMA_X,3201
4,buy,1.1125,5347.035200065885,5594.60002720091,2009-10-01 09:42:00+00:00,2009-10-01 10:43:00+00:00,1.4567740658528516,1.4590693676697957,1.4555740658528515,1.45918,8,1.4615740658528515,1.4615740658528515,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.46038,1.4561899999999999,0.34065852851705714,-0.9063233020434325,7.7875000000000005,0.0,255.35232713502444,247.56482713502444,trailing_sl,EMA_X,3201
5,sell,1.165,5594.60002720091,5678.288602408203,2009-10-01 11:00:00+00:00,2009-10-01 12:25:00+00:00,1.4591479219491779,1.4583595650804457,1.460347921949178,1.4582600000000001,6,1.454347921949178,1.454347921949178,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.45964,1.45706,-0.7207805082209973,0.7956508044570931,8.155000000000001,0.0,91.84357520729337,83.68857520729337,trailing_sl,EMA_X,3201
6,sell,1.1825,5678.288602408203,5745.769785455381,2009-10-01 12:47:00+00:00,2009-10-01 13:27:00+00:00,1.4574985590853993,1.4568578936896515,1.4586985590853994,1.4567400000000001,5,1.4526985590853994,1.4526985590853994,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.45769,1.45554,-0.3144091460072218,0.978936896514071,8.2775,0.0,75.75868304717832,67.48118304717832,trailing_sl,EMA_X,3201
7,buy,1.195,5745.769785455381,5586.253568794557,2009-10-01 13:31:00+00:00,2009-10-01 13:55:00+00:00,1.4567182709848558,1.4554534072471084,1.4555182709848558,1.4555182709848558,0,1.4615182709848558,1.4615182709848558,0,,,False,,,0.0,,,,1.45729,1.45551,0.8827098485597595,-0.44863737747480315,8.365,0.0,-151.15121666082376,-159.51621666082377,Stop Loss,EMA_X,3201
8,buy,1.1625,5586.253568794557,5431.311114595637,2009-10-01 14:46:00+00:00,2009-10-01 15:33:00+00:00,1.4543827277477044,1.4531198894320148,1.4531827277477043,1.4531827277477043,0,1.4591827277477043,1.4591827277477043,0,,,False,,,0.0,,,,1.45516,1.45194,0.4272774770441856,-0.4283831568963059,8.137500000000001,0.0,-146.80495419891943,-154.94245419891942,Stop Loss,EMA_X,3201
9,buy,1.1300000000000001,5431.311114595637,5514.02373507962,2009-10-01 15:39:00+00:00,2009-10-01 16:36:00+00:00,1.4550012969570072,1.4558032670497858,1.453801296957007,1.45589,7,1.459801296957007,1.459801296957007,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.45709,1.45434,0.5129695700722969,-0.6673295021419889,7.910000000000001,0.0,90.62262048398219,82.71262048398219,trailing_sl,EMA_X,3201
10,sell,1.1475,5514.02373507962,5360.214437010989,2009-10-01 16:37:00+00:00,2009-10-01 16:50:00+00:00,1.4553097638486951,1.456580149888509,1.4565097638486952,1.4565097638486952,0,1.4505097638486952,1.4505097638486952,0,,,False,,,0.0,,,,1.4565299999999999,1.45522,-0.6023615130490434,0.5038603981377676,8.032499999999999,0.0,-145.77679806863077,-153.80929806863077,Stop Loss,EMA_X,3201
11,buy,1.115,5360.214437010989,5211.945687428595,2009-10-01 16:51:00+00:00,2009-10-01 17:07:00+00:00,1.4564228297026305,1.4551630651323848,1.4552228297026304,1.4552228297026304,0,1.4612228297026304,1.4612228297026304,0,,,False,,,0.0,,,,1.45751,1.4552100000000001,0.7282970263067234,-0.39764570245681696,7.805,0.0,-140.46374958239338,-148.26874958239338,Stop Loss,EMA_X,3201
12,buy,1.085,5211.945687428595,5392.479330623156,2009-10-01 17:49:00+00:00,2009-10-01 17:55:00+00:00,1.4553304501253974,1.4570643546709694,1.4541304501253973,1.4571399999999999,2,1.4601304501253973,1.4601304501253973,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.45834,1.45458,0.5045012539750537,-0.5564532903057362,7.595,0.0,188.12864319456034,180.53364319456034,trailing_sl,EMA_X,3201
13,sell,1.1225,5392.479330623156,5442.2187406055355,2009-10-01 18:06:00+00:00,2009-10-01 18:21:00+00:00,1.454438075101105,1.4539249623172976,1.455638075101105,1.4538200000000001,2,1.449638075101105,1.449638075101105,0,trailing_sl,,True,,13.0,2.0,12.0,,,1.4552,1.45262,-0.6192489889511599,0.8496231729759884,7.8575,0.0,57.59690998237955,49.73940998237955,trailing_sl,EMA_X,3201
