id,side,lots,initial_balance,account_balance_after,open_time,close_time,entry_price,exit_price,sl_first,sl_last,sl_mod_count,tp_first,tp_last,tp_mod_count,sl_reason,tp_reason,be_applied,be_price,be_trigger_pips,be_offset_pips,trailing_sl_distance,near_tp_buffer_pips,tp_extension_pips,highest_price,lowest_price,slippage_open_pips,slippage_close_pips,commission,swap,gross_pnl,net_pnl,exit_reason,strategy_id,magic_number
1,buy,1.04,5000.0,5029.19211110608,2023-02-01 03:36:00+00:00,2023-02-01 08:52:00+00:00,1.0862548682645563,1.0866055616405763,1.0850548682645562,1.0867,3,1.0910548682645562,1.0910548682645562,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.0877,1.08522,0.8486826455644803,-0.7443835942377852,7.28,0.0,36.47211110608062,29.192111106080617,trailing_sl,SMA_CROSS,2001
2,buy,1.0475,5029.19211110608,5241.782411360028,2023-02-01 09:06:00+00:00,2023-02-01 15:15:00+00:00,1.087567433016406,1.0896669346894747,1.086367433016406,1.0897700000000001,14,1.092367433016406,1.092367433016406,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.09077,1.08666,0.4743301640619535,-0.8306531052548749,7.3325000000000005,0.0,219.92280025394797,212.59030025394796,trailing_sl,SMA_CROSS,2001
3,sell,1.09,5241.782411360028,5300.912513303548,2023-02-01 16:26:00+00:00,2023-02-01 17:00:00+00:00,1.0904580846145058,1.089845606615024,1.0916580846145059,1.0897299999999999,1,1.0856580846145059,1.0856580846145059,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.09091,1.08873,-0.5191538549431662,0.9560661502416856,7.630000000000001,0.0,66.76010194351957,59.13010194351957,trailing_sl,SMA_CROSS,2001
4,buy,1.1025,5300.912513303548,5421.761806563451,2023-02-01 17:31:00+00:00,2023-02-01 18:01:00+00:00,1.0902230005813847,1.0913891392957602,1.0890230005813846,1.0914700000000002,5,1.0950230005813846,1.0950230005813846,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.09247,1.09003,0.3300058138466788,-0.6086070424005108,7.7175,0.0,128.5667932599035,120.8492932599035,trailing_sl,SMA_CROSS,2001
5,sell,1.125,5421.761806563451,5586.490962668722,2023-02-01 18:49:00+00:00,2023-02-01 21:00:00+00:00,1.0917161094397048,1.0901818502743246,1.0929161094397049,1.0900999999999998,1,1.0869161094397048,1.0869161094397048,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.09208,1.0891,-0.9389056029540654,0.6185027432481505,7.875,0.0,172.60415610527158,164.72915610527158,trailing_sl,SMA_CROSS,2001
6,buy,1.1625,5586.490962668722,5432.350024186588,2023-02-01 21:15:00+00:00,2023-02-01 21:31:00+00:00,1.0912055554038493,1.0899496118470138,1.0900055554038492,1.0900055554038492,0,1.0960055554038493,1.0960055554038493,0,,,False,,,0.0,,,,1.09151,1.0899,0.6555540384933778,-0.35943556835560386,8.137500000000001,0.0,-146.0034384821338,-154.14093848213378,Stop Loss,SMA_CROSS,2001
7,buy,1.1300000000000001,5432.350024186588,5277.291403035414,2023-02-01 21:38:00+00:00,2023-02-01 21:38:00+00:00,1.0931898444853745,1.091887644298196,1.0919898444853744,1.0919898444853744,0,1.0979898444853744,1.0979898444853744,0,,,False,,,0.0,,,,1.0932,1.09169,0.5984448537454945,-0.8220018717852717,7.910000000000001,0.0,-147.14862115117347,-155.05862115117347,Stop Loss,SMA_CROSS,2001
8,sell,1.095,5277.291403035414,5124.3137044722125,2023-02-01 22:52:00+00:00,2023-02-02 01:05:00+00:00,1.0983793043023073,1.0996519609101905,1.0995793043023074,1.0995793043023074,0,1.0935793043023074,1.0935793043023074,0,,,False,,,0.0,,,,1.09961,1.09833,-0.9069569769271091,0.5265660788311699,7.665,5.9568,-139.3558985632012,-152.9776985632012,Stop Loss,SMA_CROSS,2001
9,sell,1.0675000000000001,5124.3137044722125,4977.409952092089,2023-02-02 01:50:00+00:00,2023-02-02 02:32:00+00:00,1.1011027147921881,1.102408862355468,1.1023027147921882,1.1023027147921882,0,1.0963027147921882,1.0963027147921882,0,,,False,,,0.0,,,,1.10232,1.10091,-0.3728520781187683,0.8614756327984807,7.472500000000001,0.0,-139.43125238012368,-146.90375238012368,Stop Loss,SMA_CROSS,2001
10,sell,1.0325,4977.409952092089,4996.864110321725,2023-02-02 03:01:00+00:00,2023-02-02 09:08:00+00:00,1.1017423617635576,1.101483943766176,1.1029423617635576,1.1013899999999999,1,1.0969423617635576,1.0969423617635576,0,trailing_sl,,True,,13.0,2.0,10.0,,,1.10255,1.10039,-0.5763823644255872,0.7394376617630982,7.2275,0.0,26.681658229636366,19.454158229636366,trailing_sl,SMA_CROSS,2001
